Company Name : AMC,,,,,
Report Type : Balance Sheet,,,,,
Currency = AED,,,,,
Year,2019,2020,2021,2022,2023
 Assets ,,,,,
 Current assets: ,,,,,
 Cash ," 167,971 "," 181,210 "," 183,715 "," 211,069 "," 239,550 "
 Accounts Receivable ," 5,100 "," 5,904 "," 6,567 "," 7,117 "," 7,539 "
 Prepaid expenses ," 4,806 "," 5,513 "," 5,170 "," 5,998 "," 5,682 "
 Inventory ," 7,805 "," 9,601 "," 9,825 "," 10,531 "," 11,342 "
 Total current assets ," 185,682 "," 202,228 "," 205,277 "," 234,715 "," 264,112 "
,,,,,
 Property & Equipment ," 45,500 "," 42,350 "," 40,145 "," 38,602 "," 37,521 "
 Goodwill ," 3,580 "," 3,460 "," 3,910 "," 3,870 "," 3,850 "
 Total Assets ," 234,762 "," 248,038 "," 249,332 "," 277,187 "," 305,483 "
,,,,,
 Liabilities ,,,,,
 Current liabilities: ,,,,,
 Accounts Payable ," 3,902 "," 4,800 "," 4,912 "," 5,265 "," 5,671 "
 Accrued expenses ," 1,320 "," 1,541 "," 1,662 "," 1,865 "," 1,899 "
 Unearned revenue ," 1,540 "," 1,560 "," 1,853 "," 1,952 "," 1,724 "
 Total current liabilities ," 6,762 "," 7,901 "," 8,427 "," 9,082 "," 9,294 "
,,,,,
 Long-term debt ," 50,000 "," 50,000 "," 30,000 "," 30,000 "," 30,000 "
 Other long-term liabilities ," 5,526 "," 5,872 "," 5,565 "," 6,051 "," 5,909 "
 Total Liabilities ," 62,288 "," 63,773 "," 43,992 "," 45,133 "," 45,203 "
,,,,,
 Shareholder's Equity ,,,,,
 Equity Capital ," 170,000 "," 170,000 "," 170,000 "," 170,000 "," 170,000 "
 Retained Earnings ," 2,474 "," 14,265 "," 35,340 "," 62,053 "," 90,280 "
 Shareholder's Equity ," 172,474 "," 184,265 "," 205,340 "," 232,053 "," 260,280 "
 Total Liabilities & Shareholder's Equity ," 234,762 "," 248,038 "," 249,332 "," 277,187 "," 305,483 "
